,,vgg19,,,,,,,,,,,resnet18,,,,,,
,radius,4,4,4,4,4,8,8,8,8,8,4,4,4,4,4,8,8,8,8,8
,,50,100,200,500,1000,50,100,200,500,1000,50,100,200,500,1000,50,100,200,500,1000
RSR/%,care,8.0,5.0,4.0,11.0,10.9,2.0,4.0,2.0,2.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSR/%,prdnn,100.0,100.0,100.0,--,--,100.0,100.0,100.0,--,--,100.0,100.0,100.0,--,--,100.0,100.0,100.0,--,--
RSR/%,trades,98.0,95.0,97.0,95.0,96.4,100.0,97.0,93.5,95.6,95.8,100.0,99.0,100.0,99.8,99.5,100.0,100.0,100.0,99.8,96.8
RSR/%,aprnn,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RSR/%,ours,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RGR/%,care,6.6,4.2,3.6,11.7,11.8,2.0,3.6,2.7,2.4,2.9,2.6,2.7,9.1,12.2,6.7,3.8,2.6,2.3,2.7,2.3
RGR/%,prdnn,69.8,68.2,68.5,--,--,58.0,66.6,61.4,--,--,68.0,68.6,67.2,--,--,59.8,57.8,54.9,--,--
RGR/%,trades,100.0,86.0,90.0,97.6,97.0,100.0,100.0,95.0,98.0,98.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.1
RGR/%,aprnn,69.2,68.9,70.9,75.5,80.4,63.2,65.2,68.2,66.1,70.7,70.6,65.1,62.0,62.7,68.2,65.0,55.6,53.0,49.6,59.0
RGR/%,ours,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DD/%,care,0.1,0.2,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.2,0.3,0.2,0.1,0.0,0.0,0.1,0.1
DD/%,prdnn,13.6,24.8,30.3,--,--,19.8,40.5,50.2,--,--,2.1,2.1,2.0,--,--,14.0,13.7,12.2,--,--
DD/%,trades,18.6,11.9,7.7,6.3,6.1,25.8,18.5,11.5,8.5,8.3,29.3,43.4,20.2,14.4,10.1,38.2,34.9,15.9,11.9,10.1
DD/%,aprnn,14.2,20.0,29.3,48.7,46.4,24.0,39.5,61.9,75.5,82.1,1.8,1.8,2.2,3.1,6.1,5.5,4.2,7.6,12.7,19.5
DD/%,ours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSR/%,care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSR/%,prdnn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSR/%,aprnn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSR/%,trades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
DSR/%,ours,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DGSR/%,care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGSR/%,prdnn,0.0,0.0,0.0,--,--,0.0,0.0,0.0,--,--,0.0,0.0,0.0,--,--,0.0,0.0,0.0,--,--
DGSR/%,aprnn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGSR/%,trades,3.6,3.7,2.9,3.4,3.4,4.1,3.7,3.2,2.3,2.6,5.7,6.7,6.0,5.4,5.2,5.6,5.0,5.4,5.8,5.2
DGSR/%,ours,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3
Time/s,care,47.8,64.4,106.5,380.4,928.2,36.9,48.2,96.0,234.1,443.0,45.5,58.9,105.5,243.5,384.9,37.1,75.4,101.6,180.7,285.7
Time/s,prdnn,1731.8,2640.6,6307.4,--,--,1160.4,2210.2,5126.9,--,--,731.8,1794.9,3307.5,--,--,715.4,1300.2,5757.3,--,--
Time/s,trades,86.4,158.1,255.6,525.8,905.7,69.6,122.7,204.3,442.6,929.6,78.4,156.6,262.9,535.7,941.3,74.4,128.6,217.6,519.9,972.4
Time/s,aprnn,188.9,288.2,451.3,1645.6,6211.4,209.2,318.6,492.4,1750.4,7787.1,307.7,746.1,812.2,1338.1,1710.8,580.9,990.8,863.2,1556.0,1988.4
Time/s,ours,238.7,471.6,963.0,2516.9,5441.6,229.9,470.7,950.1,2485.0,5436.0,265.8,525.1,1050.3,2586.4,5262.3,264.7,523.1,1042.8,2627.8,5325.1
